source,year,ceremony,category,nominee (person),title,winner
golden globes,2020,78,Best Motion Picture - Drama,,"Trial of the Chicago 7, The",FALSE
golden globes,2020,78,Best Director - Motion Picture,Aaron Sorkin,"Trial of the Chicago 7, The",FALSE
golden globes,2020,78,Best Screenplay - Motion Picture,Aaron Sorkin,"Trial of the Chicago 7, The",TRUE
golden globes,2020,78,Best Performance by an Actress in a Motion Picture - Drama,Andra Day,"United States vs. Billie Holiday, The",TRUE
golden globes,2021,79,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Marion Cotillard,Annette,FALSE
golden globes,2021,79,Best Performance by an Actress in a Motion Picture - Drama,Nicole Kidman,Being the Ricardoss,TRUE
golden globes,2021,79,Best Performance by an Actor in a Motion Picture - Drama,Javier Bardem,Being the Ricardoss,FALSE
golden globes,2021,79,Best Screenplay - Motion Picture,Aaron Sorkin,Being the Ricardoss,FALSE
golden globes,2021,79,Best Motion Picture - Drama,,Belfast,FALSE
golden globes,2021,79,Best Director - Motion Picture,Kenneth Branagh,Belfast,FALSE
golden globes,2021,79,Best Screenplay - Motion Picture,Kenneth Branagh,Belfast,TRUE
golden globes,2021,79,Best Motion Picture - Drama,,CODA,FALSE
golden globes,2021,79,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Emma Stone,Cruella,FALSE
golden globes,2021,79,Best Motion Picture - Musical or Comedy,,Cyrano,FALSE
golden globes,2021,79,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Peter Dinklage,Cyrano,FALSE
golden globes,2021,79,Best Motion Picture - Musical or Comedy,,Don't Look Up,FALSE
golden globes,2021,79,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Jennifer Lawrence,Don't Look Up,FALSE
golden globes,2021,79,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Leonardo DiCaprio,Don't Look Up,FALSE
golden globes,2021,79,Best Screenplay - Motion Picture,Adam McKay,Don't Look Up,FALSE
golden globes,2021,79,Best Motion Picture - Drama,,Dune,FALSE
golden globes,2021,79,Best Director - Motion Picture,Denis Villeneuve ,Dune,FALSE
golden globes,2021,79,Best Performance by an Actress in a Motion Picture - Drama,Jessica Chastain,"Eyes of Tammy Faye, The",FALSE
golden globes,2021,79,Best Performance by an Actress in a Motion Picture - Drama,Lady Gaga,House of Gucci,FALSE
golden globes,2021,79,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Anthony Ramos,In the Heights,FALSE
golden globes,2021,79,Best Motion Picture - Drama,,King Richard,FALSE
golden globes,2021,79,Best Performance by an Actor in a Motion Picture - Drama,Will Smith,King Richard,TRUE
golden globes,2021,79,Best Motion Picture - Musical or Comedy,,Licorice Pizza,FALSE
